"IDNO"	"KING"	"FAMI"	"ENGT"
995	"B"	"Rosaceae"	"rose, wild"
996	"B"	"Rosaceae"	"rose, wild"
997	"B"	"Rosaceae"	"rose, wild"
998	"B"	"Rosaceae"	"rose, wild"
999	"B"	"Rosaceae"	"rose, wild"
1000	"B"	"Rosaceae"	"rose, wild"
1001	"B"	"Salicaceae"	"willow, goat"
1002	"B"	"Salicaceae"	"willow, goat"
1003	"B"	"Salicaceae"	"osier, purple"
1004	"B"	"Salicaceae"	"willor, contorted"
1006	"B"	"Oleaceae"	"lilac, Hungarian"
1007	"B"	"Cupressaceae"	"arbovitae, Oriental"
1008	"B"	"Cupressaceae"	"arbovitae, giant"
1009	"B"	"Rosaceae"	"plum, Myrobalan"
1010	"B"	"Rosaceae"	"cherry, European bird"
1011	"B"	"Rosaceae"	"cherry, mahaleb"
1012	"B"	"Rosaceae"	"cherry, laurel"
1015	"B"	"Rosaceae"	"cherry, Oriental"
1016	"B"	"Cupressaceae"	"arbovitae, Occidental"
1018	"B"	"Hypericaceae"	"wort, St. John's"
1029	"B"	"Rhizophoraceae"	"mangrove, many-petal"
1034	"B"	"Thymeleaceae"	"eaglewood"
1036	"B"	"Theaceae"	"camellia"
1041	"Z"	"Threskiornithidae"	"spoonbill, black-faced"
1042	"Z"	"Laridae"	"gull, common black-headed"
1043	"Z"	"Gruidae"	"crane, Sarus"
1044	"Z"	"Ciconiidae"	"stork, black-necked"
1045	"Z"	"Ciconiidae"	"adjutant, lesser"
1046	"Z"	"Ciconiidae"	"adjutant, greater"
1048	"Z"	"?"	"bonnet, Japanese"
1051	"Z"	"Loricidae"	"loris, small"
1052	"Z"	"Cercopithecidae"	"monkey, Tonkin leaf"
1053	"Z"	"Cercopithecidae"	"langur, douc"
1054	"Z"	"Laridae"	"gull, Saunder's"
1055	"Z"	"Hylobatidae"	"gibbon, white-handed"
1056	"Z"	"Hylobatidae"	"gibbon, black"
1057	"Z"	"Dugongidae"	"dugong"
1058	"Z"	"Loricidae"	"loris, slow"
1059	"Z"	"Cercopithecidae"	"macaque, Rhesus"
1060	"Z"	"Cercopithecidae"	"macaque, Assamese"
1061	"Z"	"Ursidae"	"bear, Malayan sun"
1062	"Z"	"Ursidae"	"bear, Asiatic black"
1063	"Z"	"Mustelidae"	"weasel, common"
1064	"Z"	"Viverridae"	"civet, large-spotted"
1065	"Z"	"Viverridae"	"civet, large Indian"
1066	"Z"	"Felidae"	"cat, jungle"
1067	"Z"	"Felidae"	"tiger"
1068	"Z"	"Elephantidae"	"elephant, Indian"
1069	"Z"	"Tapiridae"	"tapir, Malayan"
1070	"Z"	"Rhinocerotidae"	"rhinoceros, unicorn"
1071	"Z"	"Rhinocerotidae"	"rhinoceros, Sumatran"
1072	"Z"	"Bovidae"	"gaur, Java"
1073	"Z"	"Bovidae"	"gaur"
1075	"Z"	"Moschidae"	"deer, ?"
1076	"Z"	"Phasianidae"	"hill partridge, annamese"
1077	"Z"	"Phasianidae"	"pheasant, Edwards's"
1078	"Z"	"Phasianidae"	"argus, crested"
1079	"Z"	"Timaliidae"	"laughingthrush, white-cheeked"
1080	"Z"	"Timaliidae"	"scimitar-babler, short-tailed"
1081	"Z"	"Timaliidae"	"tit-babler, grey-faced"
1082	"Z"	"Timaliidae"	"tit-babler, striped"
1083	"Z"	"Fringillidae"	"greenfinch, black-headed"
1084	"Z"	"Timaliidae"	"crocias, grey-crowned"
1085	"Z"	"Timaliidae"	"laughingthrush, black-hooded"
1086	"Z"	"Timaliidae"	"laughingthrush, collared"
1087	"Z"	"Ciconiidae"	"openbill, Asian"
1088	"Z"	"Otididae"	"florican, Bengal"
1089	"Z"	"Anatidae"	"duck, white-winged"
1090	"Z"	"Threskiornithidae"	"ibis, white-shouldered"
1091	"Z"	"Cheloniidae"	"turtle, loggerhead"
1092	"Z"	"Cheloniidae"	"turtle, green"
1094	"B"	"Aspleniaceae"	"bird's nest fern"
1099	"B"	"Nymphaeaceae"	"blue lotus of India"
1114	"B"	"Malvaceae"	"Turk's cap"
1121	"B"	"Euphorbiaceae"	"acalypha, common"
1124	"B"	"Euphorbiaceae"	"physic nut"
1125	"B"	"Euphorbiaceae"	"Guatemala rhubarb"
1126	"B"	"Euphorbiaceae"	"spurge, thyme-leaved"
1127	"B"	"Cactaceae"	"prickly pear Raquette"
1131	"B"	"Brassicaceae"	"turnip, long"
1133	"B"	"Plumbaginaceae"	"leadwort, blue"
1134	"B"	"Convolvulaceae"	"potato, sweet"
1140	"B"	"Acanthaceae"	"bear's breach"
1142	"B"	"Verbenaceae"	"clerodendrum / bleeding heart"
1143	"B"	"Verbenaceae"	"clerodendron, sea-side"
1145	"B"	"Rubiaceae"	"torch tree"
1147	"B"	"Arecaceae"	"date palm"
1148	"Z"	"?"	"silver dollar fish"
1151	"B"	"Lemnaceae"	"duckweed"
1152	"B"	"Araceae"	"taro, swamp"
1153	"B"	"Gramineae"	"rice, wild"
1154	"B"	"Gramineae"	"rice, wild"
1155	"B"	"Brassicaceae"	"watercress"
1157	"B"	"Juncaceae"	"rush, mat"
1158	"B"	"Typhaceae"	"cattail"
1184	"B"	"Arecaceae"	"areca nut"
1187	"B"	"Papilionaceae"	"dragontree, white"
1188	"B"	"Ulmaceae"	"gunpowder tree"
1193	"B"	"Tiliaceae"	"jute, wild"
1204	"B"	"Droseraceae"	"sundew, Burman's"
1205	"B"	"Capparaceae"	"spider flower, purple"
1229	"B"	"Passifloraceae"	"passion flower"
1231	"B"	"Lecythidaceae"	"cannon ball tree"
1233	"B"	"Lythraceae"	"entravel"
1251	"B"	"Urticaceae"	"Ramie grass"
1252	"B"	"Amaryllidaceae"	"garlic, wild"
1253	"B"	"Rosaceae"	"pear, ornamental"
1254	"B"	"Phalarideae"	"garter, gardener's"
1255	"B"	"Saxifragaceae"	"hydrangea, climbing"
1256	"B"	"Oleaceae"	"jasmine, winter"
1257	"B"	"Caryophyllaceae"	"sweet William"
1259	"B"	"Brassicaceae"	"broccoli, purple sprouting"
1260	"B"	"Papilionaceae"	"bean, runner"
1261	"B"	"Apiaceae"	"parsley"
1262	"B"	"Lamiaceae"	"mint, Bowles"
1263	"B"	"Lamiaceae"	"mint, pepper"
1265	"B"	"Polygonaceae"	"sorrel, sheep"
1266	"B"	"Urticaceae"	"dill"
1267	"B"	"Apiaceae"	"fennel"
1268	"B"	"Lamiaceae"	"marjoram, commun"
1269	"B"	"Lamiaceae"	"marjoram, sweet"
1270	"B"	"Lamiaceae"	"marjoram, pot"
1271	"B"	"Asteraceae"	"tarragon"
1272	"B"	"Lamiaceae"	"thyme, common"
1273	"B"	"Pooideae"	"bamboo, Japanese"
1274	"B"	"Pooideae"	"bamboo"
1275	"B"	"Lamiaceae"	"lamb's tongue"
